# index, label, _pos
1805,"NARDELLI, G","array([-38.22837638,  55.66423305])"
1806,"IV, WT","array([-14.96873154,  77.18278354])"
1807,"GLADIKOWSKI, J","array([-20.15740303, 119.11888473])"
1808,"PIETTE, BMAG","array([-16.64975309, 121.49117494])"
1809,"SHIROKURA, H","array([ 100.53136001, -107.88913805])"
1810,"RUHL, W","array([-17.6440357 ,  36.19421931])"
1811,"BEHRNDT, K","array([-5.49579467, 69.09454807])"
1812,"GRIMM, U","array([50.89553193, 95.91393641])"
1813,"ILINSKAIA, AV","array([127.36251503, -19.24337492])"
1814,"ALVAREZ, E","array([-17.23777036,  58.4486461 ])"
1815,"MARTIN, CP","array([-22.79074132,  43.12069318])"
1816,"PETKOU, AC","array([23.14854046, 87.77016366])"
1817,"WIPF, A","array([-14.23054959, 105.72331072])"
1818,"SEGALINI, T","array([-55.91378637,  42.61572694])"
1819,"BROUT, R","array([-24.71935269,  66.43745403])"
1820,"MASSAR, S","array([-21.73779398,  63.40996918])"
1821,"PARENTANI, R","array([-23.56591221,  58.30454536])"
1822,"SPINDEL, P","array([-23.45226138,  67.04958741])"
1823,"THURNER, S","array([-42.13122088,  98.33690563])"
1824,"MARKUM, H","array([-43.40919355,  87.4573406 ])"
1825,"SAKULER, W","array([-46.9143261 ,  95.01581733])"
1826,"NESTI, F","array([ 2.97546541, 55.26241984])"
1827,"VINTELER, E","array([11.47366484, 59.20010082])"
1828,"BERGMAN, O","array([-6.34597055, 78.9286986 ])"
1829,"THORN, CB","array([-7.72997577, 82.96903231])"
1830,"LIU, JT","array([-3.69045879, 61.17662255])"
1831,"MINASIAN, R","array([-3.78557584, 67.80400466])"
1832,"JARVIS, PD","array([-19.73145938,  97.43676279])"
1833,"TSOHANTJIS, I","array([-14.18696823, 111.12389243])"
1834,"MARTINA, L","array([-29.14223125, 131.04206844])"
1835,"CCE, GS","array([-27.37068628, 130.44867686])"
1836,"SUBBOTIN, A","array([-23.75011278, 119.51430942])"
1837,"TYUTIN, IV","array([-20.17135341, 111.54057396])"
1838,"SLOBODENYUK, VA","array([-141.88586444,  262.65366744])"
1839,"SCHELLEKENS, B","array([15.91297254, 65.59597341])"
1840,"ZAMOLODCHIKOV, AB","array([-170.18326549,  211.10611923])"
1841,"THORLACIUS, L","array([-11.38523597,  80.8797524 ])"
1842,"UGLUM, J","array([-11.9945537 ,  77.49592738])"
1843,"MORETTI, V","array([-28.17664014,  98.26908288])"
1844,"ACHARYA, B","array([ 2.82198331, 65.65457874])"
1845,"LOVE, A","array([ 4.00558647, 55.65114804])"
1846,"CADAVID, AC","array([-0.71342661, 57.96712885])"
1847,"CLARK, TE","array([-51.53495007, 263.07824924])"
1848,"LOVE, ST","array([-53.6320497 , 262.36776443])"
1849,"EDELSTEIN, JD","array([-8.60575991, 67.33137568])"
1850,"MOSTAFAZADEH, A","array([ 25.41199372, 132.3421495 ])"
1851,"VALTANCOLI, P","array([-7.46164349, 25.70318094])"
1852,"JANSSEN, B","array([-6.35600321, 60.28497183])"
1853,"ZHANG, Y","array([  2.43991839, 119.72015616])"
1854,"THIELEMANS, K","array([ 2.41946858, 73.58476835])"
1855,"DABHOLKAR, A","array([-15.15468053,  72.58489365])"
1856,"GOLDENFELD, N","array([-55.8935995 ,  81.11580322])"
1857,"OONO, Y","array([-52.94834961,  80.86688882])"
1858,"DAHMEN, HD","array([-4.74154492, 32.50707992])"
1859,"MARCULESCU, S","array([-6.77071025, 39.12339389])"
1860,"PORTMANN, T","array([-4.93731403, 30.86223612])"
1861,"ABE, M","array([ 8.63113108, 99.66937466])"
1862,"TAKAMA, M","array([-211.30540183,   39.74785953])"
1863,"KUNIBA, A","array([ 31.52069386, 107.09406348])"
1864,"OHTA, Y","array([ 26.08407293, 108.48561421])"
1865,"SUZUKI, J","array([ 34.56925222, 113.34192424])"
1866,"ALDABE, F","array([-43.01165364,  43.82311572])"
1867,"SON, SH","array([ -73.95629296, -118.6327849 ])"
1868,"HINDAWI, A","array([-5.9064387 , 71.45379574])"
1869,"WALDRAM, D","array([-8.34628718, 71.31866593])"
1870,"BORVSTNIK, NM","array([ 95.66154791, -82.25057906])"
1871,"FAJFER, S","array([ 96.87812408, -84.07955698])"
1872,"YOSHIMURA, M","array([ 7.72982974, 28.67207215])"
1873,"MACFARLANE, AJ","array([ 1.95254965, 76.09826073])"
1874,"CHEMTOB, M","array([-240.50874334,   95.43542709])"
1875,"STEFANO, DL","array([-97.51807597, 264.38491443])"
1876,"PIETRO, R","array([-95.12689963, 263.56935404])"
1877,"BANTAY, P","array([-127.67317772,  195.54162206])"
1878,"VECSERNYES, P","array([-125.46505746,  195.49503746])"
1879,"BANADOS, M","array([-17.60397077,  65.72546996])"
1880,"GARAY, LJ","array([-9.63712238, 53.68591561])"
1881,"ARVANITIS, C","array([ 0.48037601, 27.30222274])"
1882,"GENIET, F","array([ 7.73517829, 24.75105088])"
1883,"NEVEU, A","array([ 7.03078204, 22.71222334])"
1884,"POLYAKOV, A","array([-204.37285876,  128.11756459])"
1885,"SAILER, K","array([-75.5205665 ,  68.07716417])"
1886,"GREINER, W","array([-80.53817372,  72.33918195])"
1887,"EYNARD, B","array([-54.87684094,  92.70027865])"
1888,"KRISTJANSEN, C","array([-43.87435462,  88.94470188])"
1889,"GIDDINGS, SB","array([-5.49279936, 72.13638546])"
1890,"PIERRE, JM","array([ 4.05117966, 74.51434341])"
1891,"DICK, R","array([-10.91526005,  25.22822028])"
1892,"NEMESCHANSKY, D","array([11.36323778, 74.98696538])"
1893,"PEET, AW","array([-13.66793556,  70.68527996])"
1894,"DAVIES, B","array([ 38.18407781, 102.03583007])"
1895,"OKADO, M","array([ 36.51301532, 108.38898341])"
1896,"KARAKHANYAN, DR","array([-40.02277318, 109.09342687])"
1897,"BATALIN, IA","array([-22.16763184,  96.77324056])"
1898,"JIRARI, H","array([19.34696053, 86.67922836])"
1899,"WUDKA, J","array([  0.62662645, 255.40788524])"
1900,"SINGH, H","array([-12.18693178,  78.59186493])"
1901,"SZENES, A","array([ 48.81893907, 108.10759885])"
1902,"GROJNOWSKI, I","array([170.51100587,  95.73053164])"
1903,"MEZHLUMIAN, A","array([-18.12660993,  69.96629625])"
1904,"LI, D","array([-29.6858112 ,  81.93359891])"
1905,"LIEB, E","array([191.42062488,   5.22769199])"
1906,"LOSS, M","array([191.44668408,   7.65677341])"
1907,"SOLOVEJ, JP","array([193.18111984,   6.97475171])"
1908,"CUGLIANDOLO, LF","array([-50.23007004, 115.13720293])"
1909,"KURCHAN, J","array([-52.12653586, 116.35187049])"
1910,"MONASSON, R","array([-49.44146064, 113.77543719])"
1911,"MANDAL, SS","array([-102.24488056,   70.0931412 ])"
1912,"RAVISHANKAR, V","array([-97.28194092,  70.45134906])"
1913,"GOHMANN, F","array([ 18.471603  , 132.37776595])"
1914,"WADATI, M","array([ 15.67952556, 112.60726155])"
1915,"FENDLEY, P","array([35.55463652, 93.1054435 ])"
1916,"ERCOLESSI, E","array([-40.6068067 ,  49.15107383])"
1917,"MORANDI, G","array([-46.39612804,  43.80363364])"
1918,"NAPOLI, F","array([-45.49326939,  42.58767445])"
1919,"PIERI, P","array([-47.65738117,  43.79747002])"
1920,"GOULD, MD","array([  0.84562669, 116.13925405])"
1921,"HIBBERD, KE","array([ -0.55197963, 122.10187138])"
1922,"LINKS, JR","array([ -5.12649892, 118.19375289])"
1923,"SEN, D","array([-64.97522411,  48.08125405])"
1924,"CHANDAR, L","array([-40.96526218,  60.29167207])"
1925,"MOMEN, A","array([-36.90006665,  66.25047246])"
1926,"URRIES, FJD","array([ -11.88190759, -156.12420022])"
1927,"JULVE, J","array([  -9.87553511, -157.18660958])"
1928,"GRISHCHUK, LP","array([108.24201814, 243.23330557])"
1929,"ALVES, M","array([-26.35539562,  38.86593572])"
1930,"EARDLEY, D","array([-21.67033429,  71.41316656])"
1931,"HOROWITZ, G","array([-14.4161671 ,  72.94530355])"
1932,"KASTOR, D","array([-21.68650417,  69.28037941])"
1933,"TRASCHEN, J","array([-20.35656606,  70.2070761 ])"
1934,"CAMPANELLI, M","array([-43.82466647,  73.89121716])"
1935,"BOUSSO, R","array([-15.89603136,  62.6746669 ])"
1936,"FORD, LH","array([40.44031039, 51.44060143])"
1937,"ROMAN, TA","array([45.72786485, 49.21788051])"
1938,"SHINKAI, H","array([-21.60989784,  91.11509213])"
1939,"TACHIZAWA, T","array([-19.51124992,  92.3676026 ])"
1940,"MAEDA, K","array([-22.18191372,  85.85778572])"
1941,"ABRAHAMS, A","array([-168.93797971,  105.20547412])"
1942,"ANDERSON, A","array([-170.8971464 ,  105.35922214])"
1943,"CHOQUETBRUHAT, Y","array([-170.76854932,  107.32858462])"
1944,"YORK, JW","array([-168.78803748,  107.19057672])"
1945,"BROWN, D","array([-26.11139848,  48.99959199])"
1946,"PALMA, G","array([-73.53492535,  77.20375391])"
1947,"ROJAS, JC","array([-80.11952917,  79.04189428])"
1948,"PATI, JC","array([-12.76598937,  51.62769085])"
1949,"LANGFELD, K","array([-55.72846634, 107.77327947])"
1950,"RHO, M","array([-41.08509436,  96.54257213])"
1951,"ROSS, GG","array([-22.23311148,  62.36157171])"
1952,"SARKAR, S","array([-28.77545225,  58.73389175])"
1953,"CORNWALL, JM","array([25.18114414, 69.88071583])"
1954,"MORRIS, DA","array([32.68585193, 67.83523113])"
1955,"VAYONAKIS, CE","array([-30.24451225,  53.10761142])"
1956,"KUSENKO, A","array([-24.31056241,  57.99016621])"
1957,"RUF, T","array([-36.16501118,  46.60908108])"
1958,"PAPAVASSILIOU, J","array([-33.99736094,  50.87510178])"
1959,"PILAFTSIS, A","array([-40.62126166,  40.40212071])"
1960,"DALLEY, FAS","array([188.89429543,  -6.85072999])"
1961,"ALVAREZ, M","array([-22.41729649,  80.7136143 ])"
1962,"HUEFFMANN, A","array([ 13.5693405 , 118.43425568])"
1963,"STEINACKER, H","array([-3.67778885, 28.71256053])"
1964,"AKMAN, F","array([122.99772837, -62.96410147])"
1965,"BACUS, B","array([-28.40040051, 108.12792384])"
1966,"MEURICE, Y","array([-30.96194281, 110.6898698 ])"
1967,"SOEMADI, A","array([-32.21430714, 114.49193304])"
1968,"PAGE, DN","array([-14.77627685,  46.06816616])"
1969,"SCHEU, N","array([  7.82939423, 101.56661999])"
1970,"SALLER, H","array([-196.77796981,  189.23232047])"
1971,"BREUNINGER, R","array([-196.11143993,  191.40654981])"
1972,"HAFT, M","array([-198.34458713,  190.88366433])"
1973,"GUTMANN, S","array([-210.23767118,   89.25287589])"
1974,"GALLIS, MR","array([-209.22207056,   71.05244573])"
1975,"EBERLEIN, C","array([139.26106333, -12.30790156])"
1976,"SCHERER, W","array([  6.02999418, 141.23770027])"
1977,"WIDOM, H","array([ 30.18608466, 104.56172477])"
1978,"KHASTGIR, SP","array([ -3.52203191, 116.83739315])"
1979,"ATZMON, E","array([152.16292744, 138.60538487])"
1980,"BIANCHI, M","array([ 4.4889381 , 62.64656284])"
1981,"FUCITO, F","array([14.00072552, 65.691349  ])"
1982,"ROSSI, GC","array([ 9.72502008, 66.6896081 ])"
1983,"ROSHCHUPKIN, SN","array([-46.97422618,  25.55243269])"
1984,"ZHELTUKHIN, AA","array([-42.88345389,  30.68445774])"
1985,"DELFINO, G","array([34.27236844, 89.21689834])"
1986,"PESKIN, ME","array([ 2.1350897 , 77.11728871])"
1987,"TYURIN, E","array([-11.3979926 ,  57.41947495])"
1988,"GHOSH, SK","array([-67.82885994,  44.88037679])"
1989,"GUERRERO, J","array([-34.7997748 ,  38.13123155])"
1990,"FULOP, G","array([-10.32502377, 105.7267908 ])"
1991,"KHUDAVERDIAN, OM","array([  0.94261472, 109.28617408])"
1992,"PIGLI, M","array([ -27.8562878, -124.2799135])"
1993,"MINAHAN, JA","array([ 5.82547807, 74.40396178])"
1994,"SAULINA, NA","array([ -50.99644569, -132.31093023])"
1995,"TERENTIEV, MV","array([ -49.09063456, -131.2211195 ])"
1996,"ZYABLYUK, KN","array([ -51.05290753, -130.0043666 ])"
1997,"MYRHEIM, J","array([-31.09073978,  33.10396815])"
1998,"OLAUSSEN, K","array([-33.97870849,  26.11838664])"
1999,"RIETMAN, R","array([-34.98437644,  27.24105913])"
2000,"LIFSCHYTZ, G","array([-7.52992361, 81.16113738])"
2001,"ORTIZ, ME","array([-19.38275479,  88.00672785])"
2002,"GANOR, O","array([-5.74710072, 85.27525309])"
2003,"GEGELIA, J","array([-42.47829663, 133.1803822 ])"
2004,"JAPARIDZE, G","array([-41.33443408, 132.07172745])"
2005,"KIKNADZE, N","array([-38.3712065 , 126.83115312])"
2006,"TURASHVILI, K","array([-40.78330582, 133.55556411])"
2007,"RAHMAN, S","array([ 8.61037489, 73.49005405])"
2008,"MIRLEAU, OD","array([121.47991599, 160.70214811])"
2009,"BELLET, B","array([11.21288898, 24.94717589])"
2010,"GARCIA, P","array([11.60501537, 23.75107401])"
2011,"PINTO, MB","array([11.90118319, 31.38858342])"
2012,"KEHREIN, SK","array([-64.95979302,  93.41554033])"
2013,"WOLF, S","array([13.61142766, 80.65021477])"
2014,"PEETERS, K","array([-3.23460009, 75.16400024])"
2015,"BOCKENHAUER, J","array([34.68014079, 62.69203093])"
2016,"PERNICI, M","array([-221.8605914 ,   40.02128604])"
2017,"RACITI, M","array([-220.1848234 ,   41.56318306])"
2018,"RIVA, F","array([-219.67093479,   39.34422005])"
2019,"MAASSARANI, Z","array([35.46591894, 85.74135645])"
2020,"WALLON, S","array([42.63770189, 87.72170057])"
2021,"ZUBER, J","array([44.85227739, 86.48987744])"
2022,"CARTER, B","array([-33.75735148,  73.03056384])"
2023,"LANGLOIS, D","array([-27.42501468,  77.98026247])"
2024,"HORAVA, P","array([-2.80102298, 78.50415762])"
2025,"HASHIMOTO, A","array([-14.39262022,  83.17967892])"
2026,"KAR, S","array([-21.93588308,  70.2913447 ])"
2027,"KASHAEV, RM","array([ 57.12547523, 109.66657902])"
2028,"VATHSAN, R","array([184.75208691, 146.77919996])"
2029,"COCEAL, O","array([-1.55404985, 55.95733599])"
2030,"KHELASHVILI, A","array([-43.30557573, 131.71012444])"
2031,"BERKOVICH, A","array([53.41207101, 98.05380015])"
2032,"MCCOY, BM","array([54.96798951, 97.89467788])"
2033,"ORRICK, WP","array([58.11785232, 98.66721885])"
2034,"LAPOINTE, L","array([168.20389979, 180.42531907])"
2035,"VINET, L","array([169.67443981, 182.07142415])"
2036,"BELLINI, A","array([-7.89222576, 17.83174263])"
2037,"CIAFALONI, M","array([-6.47038716, 18.11370866])"
2038,"KIM, KH","array([-211.0143765 ,   98.35109042])"
2039,"ROHM, R","array([ 8.46397643, 42.0189993 ])"
2040,"DASGUPTA, I","array([ 4.12952008, 49.50557799])"
2041,"BASUMALLICK, B","array([-1.24627635, 93.57455182])"
2042,"KUNDU, A","array([-17.30934412,  80.23405828])"
2043,"AZHARI, A","array([ 61.02811043, 248.30077555])"
2044,"TRUONG, TT","array([ 58.76802683, 248.72957884])"
2045,"ADAMS, J","array([-44.34442083,  78.24674545])"
2046,"BERGES, J","array([-43.52715096,  77.56536692])"
2047,"NIETO, JA","array([-36.85916749,  85.79320245])"
2048,"OBREGON, O","array([-35.04791266,  85.85813753])"
2049,"VILLANUEVA, VM","array([-47.47808062,  75.18757496])"
2050,"JUNKER, W","array([192.2554628 , 145.38935162])"
2051,"BONINI, M","array([-46.56363028,  50.07016481])"
2052,"DATTANASIO, M","array([-48.3965474 ,  54.70728597])"
2053,"REBHAN, AK","array([-1.152436  ,  6.88015036])"
2054,"SCHWARZ, DJ","array([-1.33819743, 15.73988327])"
2055,"CHA, J","array([-19.51194032,  98.43489605])"
2056,"KIM, S","array([-13.99649343,  97.515251  ])"
2057,"JENKOVSZKY, LL","array([  37.8489471 , -148.15814113])"
2058,"TUAN, RH","array([174.9424511 , 130.48885505])"
2059,"WHELAN, JT","array([-213.75858485,   34.12529241])"
2060,"TESCHNER, J","array([-155.11741465,  237.97636242])"
2061,"ANDRIC, I","array([-150.49422827,  186.97071616])"
2062,"BARDEK, V","array([-149.28638637,  185.02405167])"
2063,"JONKE, L","array([-148.22630326,  187.03527613])"
2064,"AOYAMA, H","array([ -2.71508657, 118.80937026])"
2065,"HARANO, T","array([ -4.87171402, 119.75946325])"
2066,"WADA, S","array([ -3.89308788, 118.69719282])"
2067,"ALVAREZGAUME, L","array([-14.74866613,  69.98839798])"
2068,"CARDOSO, GL","array([-7.82034056, 70.31739255])"
2069,"LUST, D","array([-8.61954096, 69.80695125])"
2070,"MOHAUPT, T","array([-7.02117603, 69.97135618])"
2071,"FEIGENBAUM, J","array([ -26.48204295, -119.81220278])"
2072,"FREUND, PGO","array([ -26.61219789, -122.29961683])"
2073,"BEHREND, RE","array([46.31591366, 83.01001011])"
2074,"OBRIEN, DL","array([52.04425078, 85.87373657])"
2075,"KANIADAKIS, G","array([  -0.1905875, -122.9998592])"
2076,"LAVAGNO, A","array([   1.03357528, -124.85752054])"
2077,"QUARATI, P","array([  -1.1999643 , -124.99003443])"
2078,"FERRANDO, A","array([-63.31666205, 118.09345012])"
2079,"JARAMILLO, A","array([-58.87022828, 113.02881648])"
2080,"HIKAMI, K","array([ 4.91125121, 99.19887742])"
2081,"AROCA, JM","array([-44.65855544,  72.63874823])"
2082,"BAIG, M","array([-52.53588503,  71.87077705])"
2083,"SIRI, R","array([-52.05156421,  72.9376678 ])"
2084,"TAKHTAJAN, L","array([21.04904376, 34.63727777])"
2085,"FERRER, EJ","array([-59.04236684, 102.62662185])"
2086,"INCERA, VDL","array([-58.26052426, 103.88564146])"
2087,"BRZEZINSKI, T","array([-34.31863287,  96.5760479 ])"
2088,"KATRIEL, J","array([-48.58854985,  89.14482275])"
2089,"LAWSON, JW","array([-50.27037629,  67.36370409])"
2090,"GURALNIK, GS","array([-41.72623675,  68.37914431])"
2091,"FILHO, ED","array([ 37.14924948, 261.62554448])"
2092,"RICOTTA, RM","array([ 38.32300086, 263.57856543])"
2093,"FILHO, FMDC","array([-19.7752483 ,  84.87438074])"
2094,"HENNINGSON, M","array([-5.56042373, 63.4496883 ])"
2095,"CABRA, D","array([ 6.85186389, 69.16340071])"
2096,"KOVNER, A","array([-19.21607708,  56.88702347])"
2097,"MAEDA, N","array([ -1.04492373, 115.46500064])"
2098,"MATHUR, SD","array([-12.77367048,  73.86412195])"
2099,"DOWKER, F","array([-18.74811868,  69.0979833 ])"
2100,"GAUNTLETT, J","array([-7.43450351, 73.30488984])"
2101,"GIBBONS, G","array([-14.88004605,  68.3871179 ])"
2102,"YANG, S","array([ 10.29039759, 102.66156705])"
2103,"ASANO, M","array([-0.60301588, 98.78463863])"
2104,"LANDI, G","array([-29.68784823,  50.8609017 ])"
2105,"SOH, DS","array([ -3.8903111 , 105.32587217])"
2106,"CHO, KH","array([ -6.16358025, 103.87921846])"
2107,"KIM, SP","array([-4.25919411, 97.85579659])"
2108,"YAU, S","array([ 8.70267428, 78.7248025 ])"
2109,"SLAVNOV, AA","array([-163.1637842 ,  163.30947669])"
2110,"BHALLA, RS","array([-62.05596362,  55.9893876 ])"
2111,"PANIGRAHI, PK","array([-66.91950503,  52.3223251 ])"
2112,"PELIZZOLA, A","array([-28.89407788, 141.20955899])"
2113,"ALDAZABAL, G","array([-23.3759183 ,  74.81986835])"
2114,"CARVALHO, M","array([21.59899372, 67.32183797])"
2115,"VILAR, LCQ","array([14.85327201, 67.34286182])"
2116,"HELAYELNETO, JA","array([26.91199846, 70.16722976])"
2117,"TABAR, MRR","array([  4.58093152, 122.90538636])"
2118,"DAVOUDI, B","array([  6.12853662, 130.52026067])"
2119,"TRIVEDI, S","array([-7.88716514, 68.000587  ])"
2120,"VAINSHTEIN, A","array([-12.98781641,  74.44803621])"
2121,"MANFREDI, VR","array([141.42406953, -92.02862231])"
2122,"SALASNICH, L","array([139.66704898, -90.51861025])"
2123,"SUTCLIFFE, P","array([-2.204943  , 90.57506547])"
2124,"NILL, F","array([-104.92146293, -100.79805493])"
2125,"SZLACHANYI, K","array([-105.65345528,  -98.59448929])"
2126,"DURRER, R","array([-28.41481864,  52.00913213])"
2127,"GANGUI, A","array([-33.48333581,  61.00355507])"
2128,"SAKELLARIADOU, M","array([-29.23695035,  53.96009222])"
2129,"KISKER, J","array([-211.51898075,   -1.14426014])"
2130,"SANTEN, L","array([-211.26559898,   -3.03543632])"
2131,"SCHRECKENBERG, M","array([-209.38526403,   -2.79349399])"
2132,"RIEGER, H","array([-209.49002757,   -0.76160163])"
2133,"YOUNG, AP","array([-207.86858056,    1.29801942])"
2134,"WEN, XG","array([-48.02736127,  95.69499929])"
2135,"KARDAR, M","array([-52.73405586, 107.36208418])"
2136,"BARENBLATT, GI","array([-63.42420572,  82.20386271])"
2137,"YOON, Y","array([-24.4631956, 106.6105162])"
2138,"DEMERS, J","array([-23.41909581,  73.44809014])"
2139,"SORKIN, RD","array([-30.56108725,  57.59227045])"
2140,"KHORRAMI, M","array([ 15.56487591, 128.33877491])"
2141,"MANSOURI, R","array([ 19.33157964, 136.22115755])"
2142,"MOHAZZAB, M","array([ 19.27007273, 134.43013591])"
2143,"EJTEHADI, MR","array([ 17.44933645, 134.78059756])"
2144,"KOCIC, A","array([-63.08262307,  84.74392716])"
2145,"ORDAZ, G","array([-29.73444992, 108.03852307])"
2146,"KRASNITZ, A","array([-37.99537569,  89.94974207])"
2147,"BENAKLI, K","array([-10.05435409,  66.78945126])"
2148,"SENJANOVIC, G","array([-13.72388844,  58.06611228])"
2149,"GISIGER, T","array([ -92.23279863, -136.08058653])"
2150,"PARANJAPE, MB","array([ -93.10946611, -138.47755934])"
2151,"NYFFELER, A","array([-30.09989537,  55.35404896])"
2152,"SCHENK, A","array([-34.26300288,  49.00790649])"
2153,"GREENBERG, OW","array([210.5789802 , 126.18864255])"
2154,"KONO, S","array([  4.00417611, 112.56243769])"
2155,"GEIGER, K","array([ -30.74770222, -100.07546999])"
2156,"NELSON, AE","array([-8.65138094, 53.6516685 ])"
2157,"NIR, Y","array([-2.54094014, 55.32925676])"
2158,"SHIRMAN, Y","array([-4.1939283 , 59.99861217])"
2159,"BIJ, JJVD","array([-40.22546038, 239.78804284])"
2160,"CASTANO, DJ","array([ 8.50669786, 77.59960327])"
2161,"MANUEL, C","array([12.17287885, 76.90460895])"
2162,"STEVENSON, PM","array([17.15760859, 95.61604365])"
2163,"BOYANOVSKY, D","array([-43.26101934,  53.39447245])"
2164,"HOLMAN, R","array([-39.67260898,  51.28796493])"
2165,"LEE, DS","array([-40.72884472,  65.31740347])"
2166,"LEON, JH","array([-16.71425422,  49.90370924])"
2167,"RUIZ, FR","array([-9.69073544, 52.64343198])"
2168,"DURDEVIC, M","array([  -7.25835184, -121.04581435])"
2169,"ARAKAWA, T","array([ -0.9764086 , 109.54339644])"
2170,"NAKANISHI, T","array([  9.81870535, 108.68032715])"
2171,"OSHIMA, K","array([ -1.54974035, 113.39124093])"
2172,"PALEV, TD","array([ 18.32495416, 103.29938446])"
2173,"STOILOVA, NI","array([ 12.54519703, 112.14567947])"
2174,"PEREZ, E","array([-19.71166865,  86.8742688 ])"
2175,"KUBO, H","array([ 13.57322096, 109.42873312])"
2176,"FRASCA, M","array([-122.80195976,  209.62427265])"
2177,"FINKELSTEIN, J","array([  81.82269316, -112.63728111])"
2178,"ZUJEWSKI, A","array([107.28809673, -15.14371689])"
2179,"SELIPSKY, SB","array([-29.17948826,  54.95648039])"
2180,"BERTOLA, M","array([40.07636155, 69.98577065])"
2181,"GORINI, V","array([39.98180189, 69.0084427 ])"
2182,"ZENI, M","array([23.43534421, 69.8362612 ])"
2183,"ARMONI, A","array([-11.3197142 ,  78.34348711])"
2184,"BECCARIA, M","array([ 55.97418128, 270.45518229])"
2185,"RODRIGUEZROMO, S","array([-60.10744715, 260.98862628])"
2186,"ANAZAWA, M","array([  1.5144063 , 122.20583592])"
2187,"ISHIKAWA, A","array([  3.78164362, 121.9440253 ])"
2188,"UENO, T","array([ 15.39088699, 108.00429116])"
2189,"ALEXANDER, K","array([192.57220185,  65.36099221])"
2190,"BROWER, RC","array([-23.41843563,  78.77843817])"
2191,"CAMPOSTRINI, M","array([-28.99934233,  78.74858176])"
2192,"ORGINOS, K","array([-29.04023598,  79.79402865])"
2193,"ROSSI, P","array([-31.97772662,  79.31101761])"
2194,"TAN, C","array([-23.33358085,  78.00153258])"
2195,"VICARI, E","array([-29.08232172,  76.74925998])"
2196,"VOS, KD","array([-153.06508173,  177.6725647 ])"
2197,"DRIEL, PV","array([-153.28502006,  175.47928184])"
2198,"GANGOPADHYAYA, A","array([-55.63960048,  50.06847686])"
2199,"SUKHATME, UP","array([-57.03501266,  50.19601765])"
2200,"NOGUCHI, M","array([ 10.39248476, 107.28821399])"
2201,"LYI, WS","array([114.63809145, 247.31998357])"
2202,"CAI, Y","array([ 30.83015515, 118.67862019])"
2203,"GUO, H","array([ 25.63720299, 112.85578939])"
2204,"GAO, D","array([ 31.75909511, 117.66902371])"
2205,"KOGA, J","array([-27.85116153,  90.72176212])"
2206,"ENNES, IP","array([-8.74935779, 89.22054216])"
2207,"ISIDRO, JM","array([-6.81351534, 87.93400284])"
2208,"MUELLER, U","array([-23.75493478,  83.35886375])"
2209,"FONT, A","array([-17.35723837,  74.10534538])"
2210,"URANGA, AM","array([-20.77720046,  78.4157404 ])"
2211,"BERING, K","array([-17.59649482,  84.60519126])"
2212,"DIMAKIS, A","array([ 2.63394067, 14.67670515])"
2213,"TZANAKIS, C","array([5.0812698 , 8.95602566])"
2214,"ARMANDUGON, D","array([-40.44374023,  78.93927803])"
2215,"RABIN, JM","array([120.75316368,  -1.7562922 ])"
2216,"LAMBERT, ND","array([-6.89770282, 75.9724749 ])"
2217,"MORICONI, L","array([-55.97861757,  59.21189145])"
2218,"KARIMIPOUR, V","array([ 19.48094767, 125.76881835])"
2219,"CEK, MR","array([-1.80501204, 53.14631598])"
2220,"JATKAR, DP","array([-24.09961829,  63.3206244 ])"
2221,"ACHARYA, BS","array([ 6.06501884, 71.34138459])"
2222,"LEMES, VER","array([15.07916417, 66.50594324])"
2223,"NOGUEIRA, ALMA","array([25.39462336, 68.18296058])"
2224,"SCHILLING, A","array([ 53.94385416, 101.55777866])"
2225,"LACIANA, CE","array([138.81013839,  80.88742284])"
2226,"LOMBARDO, F","array([-201.82227158,  200.14208563])"
2227,"MAZZITELLI, F","array([-200.3180355 ,  201.84636143])"
2228,"ITZHAKI, N","array([-12.03434985,  69.38410312])"
2229,"RABEI, EM","array([109.09401108, -43.78764687])"
2230,"BANERJEE, H","array([-165.22118266,  202.76399776])"
2231,"PASANEN, P","array([22.24235364, 57.09269253])"
2232,"NI, G","array([ -4.89023918, 151.75762422])"
2233,"CHEN, S","array([ -3.0859286 , 156.87365568])"
2234,"GIAMBIAGI, JJ","array([-1.99239323, 63.54758734])"
2235,"ROSSI, M","array([ 9.78206484, 81.26986344])"
2236,"FLITNEY, AP","array([16.70080652, 85.26168915])"
2237,"BARCY, DG","array([11.00585628, 56.85333109])"
2238,"ADLER, SL","array([-22.43743233,  44.63432433])"
2239,"MILLARD, AC","array([-24.35886494,  36.0543738 ])"
2240,"CAPRI, AZ","array([ -81.86354   , -141.99710594])"
2241,"KOBAYASHI, M","array([ -79.6012193 , -141.74389921])"
2242,"LAMB, DJ","array([ -80.54060141, -143.86194146])"
2243,"BETTE, A","array([-83.03662652, -59.16855279])"
2244,"OKOPINSKA, A","array([149.13929546, 182.09666607])"
2245,"KIRSTEM, K","array([-10.14035558,  96.59277546])"
2246,"OLIVE, DI","array([-26.37590237,  86.27079901])"
2247,"HAYWARD, J","array([171.23201121, -68.22008083])"
2248,"LEGARE, M","array([-124.92519735,  240.10321826])"
