# index, label, _pos
2466,"SALEHI, H","array([110.26341329,  25.06520018])"
2467,"REBHAN, AK","array([22.08475912, 21.29353795])"
2468,"PHYSIK, RDJLIFT","array([126.2059419 , 141.55480222])"
2469,"ELST, HV","array([29.84610035, -6.26301636])"
2470,"NACHBAGAUER, H","array([22.85793066, 22.26587816])"
2471,"SCHWARZ, DJ","array([24.46432605, 17.31301088])"
2472,"GLEISER, R","array([ 35.0899972, -38.7546391])"
2473,"NICASIO, O","array([ 30.30501283, -41.71630929])"
2474,"PRICE, R","array([ 35.38189894, -39.21484285])"
2475,"MUSGRAVE, P","array([  18.79626814, -245.64406923])"
2476,"AHONEN, J","array([ 26.45612347, -16.91382487])"
2477,"ENQVIST, K","array([ 29.14215787, -11.42966621])"
2478,"BERGSTROM, L","array([ 41.21100484, -29.13609409])"
2479,"GONDOLO, P","array([ 50.57986566, -23.65138895])"
2480,"GANDHI, R","array([ 48.94200026, -69.4795889 ])"
2481,"QUIGG, C","array([ 51.82314503, -72.55887165])"
2482,"RENO, MH","array([ 52.68730485, -72.87551538])"
2483,"SARCEVIC, I","array([ 56.35907748, -66.39847781])"
2484,"FIORE, R","array([ 50.89139676, -64.39302749])"
2485,"MASPERI, L","array([ 52.71430845, -54.8753052 ])"
2486,"MEGEVAND, A","array([ 49.53948835, -63.46556625])"
2487,"GREGORY, R","array([  85.82539859, -232.63125178])"
2488,"VANDEGRIFF, J","array([ 29.35755684, -43.08935138])"
2489,"CAFFEE, M","array([ 30.02655291, -42.95278274])"
2490,"RUIZ, B","array([ 29.44868533, -42.31450725])"
2491,"OBERHUMMER, H","array([ 36.11365997, -41.79595893])"
2492,"BALOGH, W","array([ 32.38680932, -45.33557846])"
2493,"EFROS, VD","array([ 32.07435859, -45.96988701])"
2494,"HERNDL, H","array([ 37.0982204 , -42.75814856])"
2495,"HOFINGER, R","array([ 38.71123622, -42.04212217])"
2496,"BEER, H","array([ 32.95994403, -44.45395484])"
2497,"SEDYSHEV, PV","array([ 31.798019  , -46.77464953])"
2498,"POPOV, YP","array([ 31.33162684, -45.85677281])"
2499,"SOLANES, JM","array([ 73.81900349, -11.82122947])"
2500,"VITELLO, P","array([ 79.67788202, -34.33572697])"
2501,"MAUCHE, CW","array([ 71.00689967, -38.85879111])"
2502,"CHIANG, J","array([ 65.85042329, -42.35670568])"
2503,"MURRAY, N","array([ 57.82881409, -35.12395832])"
2504,"VIANA, PTP","array([ 53.98759208, -17.11369489])"
2505,"SOLTAN, AM","array([ 65.57241985, -37.09511899])"
2506,"EGGER, R","array([ 56.79910855, -35.32948686])"
2507,"SNOWDEN, S","array([ 62.32728844, -39.51386896])"
2508,"POSTMAN, M","array([ 64.74845634, -26.75449719])"
2509,"OKE, JB","array([ 63.55510883, -26.71351819])"
2510,"HOESSEL, JG","array([ 57.45797546, -28.56691104])"
2511,"CHRISTENSEN, JA","array([ 65.49201657, -28.52406972])"
2512,"FORBES, DA","array([ 63.61161269, -27.32612753])"
2513,"PHILLIPS, AC","array([ 63.36125855, -23.15309793])"
2514,"ILLINGWORTH, GD","array([ 59.38490755, -29.34265863])"
2515,"SHARPLES, WJCRM","array([ 73.18330871, -27.82574967])"
2516,"DCRUZ, NL","array([ 52.87920854, -29.02941179])"
2517,"DORMAN, B","array([ 52.66915069, -28.47331293])"
2518,"ROOD, RT","array([ 52.20003609, -25.90954643])"
2519,"OCONNELL, RW","array([ 54.11337452, -24.6447159 ])"
2520,"RODRIGUES, DDC","array([74.27126122, -7.23075216])"
2521,"SKILLMAN, ED","array([ 62.49271468, -25.27222362])"
2522,"JR, RCK","array([ 58.56829227, -27.56031631])"
2523,"SHIELDS, GA","array([ 55.23196894, -17.69346547])"
2524,"HENNING, WBBMAWVRCKPA","array([ 185.42677965, -202.3744554 ])"
2525,"FILIPPOV, AE","array([  66.41347973, -214.06279339])"
2526,"ZHEDANOV, AS","array([  66.55223494, -212.46143803])"
2527,"WEX, N","array([ 69.71049313, -50.6704201 ])"
2528,"GIL, J","array([ 82.09249504, -53.39659715])"
2529,"SENDYK, M","array([ 78.47100221, -57.18139921])"
2530,"KAMPHUIS, JJ","array([75.30538347,  3.99776717])"
2531,"SIJBRING, D","array([74.3595448 ,  4.25202116])"
2532,"ALBADA, TSV","array([70.86507805, -3.52034355])"
2533,"GONZALEZ, RA","array([ 59.98503866, -33.06937803])"
2534,"THEUNS, T","array([ 60.45745889, -21.62885618])"
2535,"MANN, B","array([ 70.2660961 , -21.32752745])"
2536,"SAUNDERS, W","array([ 66.80550966, -22.7320519 ])"
2537,"TAYLOR, A","array([ 66.95296763, -20.96745672])"
2538,"KLESSEN, R","array([ 39.66204844, -38.87703558])"
2539,"BUCHALTER, A","array([ 60.56324853, -26.97377658])"
2540,"WOMBLE, DS","array([ 66.66171183, -32.74341553])"
2541,"LYONS, RS","array([ 71.13679933, -36.7033091 ])"
2542,"LEE, CW","array([ 54.85921106, -16.7190687 ])"
2543,"FRANCIS, P","array([ 50.69210607, -30.93038802])"
2544,"WOODGATE, B","array([ 53.74481256, -30.04627775])"
2545,"WARREN, S","array([ 53.50102043, -27.55205182])"
2546,"MOLLER, P","array([ 52.82179817, -32.08453489])"
2547,"MAZZOLINI, M","array([ 50.73610146, -31.30261729])"
2548,"BUNKER, A","array([ 58.62941874, -30.64811886])"
2549,"LOWENTHAL, J","array([ 56.03443146, -29.18498171])"
2550,"WILLIAMS, T","array([ 50.47522569, -30.70326352])"
2551,"MINEZAKI, T","array([ 53.50543333, -28.92155419])"
2552,"KOBAYASHI, Y","array([ 52.57333226, -29.21325409])"
2553,"BLASI, P","array([ 42.12641696, -24.55762583])"
2554,"HNATYK, BI","array([ 34.09003435, -24.77061846])"
2555,"SRIANAND, R","array([ 59.32982606, -21.43393619])"
2556,"KHARE, P","array([ 55.43586438, -20.12566541])"
2557,"OJHA, D","array([ 61.62980792, -18.09140037])"
2558,"BIENAYME, O","array([ 68.94339599, -13.93222125])"
2559,"ROBIN, A","array([ 61.9710006 , -18.09764511])"
2560,"CREZE, M","array([ 71.19598133, -14.61562088])"
2561,"MOHAN, V","array([ 67.23489112, -25.85882852])"
2562,"PEREA, J","array([ 73.55016798, -26.04997188])"
2563,"AL, E","array([ 66.68503197, -38.1309095 ])"
2564,"AL, ABE","array([ 78.18709034, -21.36940853])"
2565,"KOLOKOTRONIS, V","array([ 69.53328762, -15.84861744])"
2566,"LIVIO, M","array([ 58.00397776, -34.28904008])"
2567,"BARKANA, R","array([ 59.23295069, -29.71426914])"
2568,"KII, T","array([ 64.54629333, -37.54328591])"
2569,"MAKINO, F","array([ 63.9760149 , -40.83056374])"
2570,"AAMINNEBORG, S","array([ 30.18563675, -28.04153763])"
2571,"GIOMMI, P","array([ 64.34128038, -39.60737464])"
2572,"HOEK, LBVD","array([ 66.69220402, -15.42939642])"
2573,"SHETH, RK","array([75.11247768, -9.79510152])"
2574,"BERKELEY, UC","array([80.58537811, -2.5190578 ])"
2575,"CRAWFORD, T","array([75.63396614, -7.59673548])"
2576,"MARR, J","array([76.18417937, -8.22832211])"
2577,"PARTRIDGE, B","array([74.97530139, -7.58737448])"
2578,"BAUTISTA, R","array([52.61610448, -4.71119133])"
2579,"E, F","array([  34.60209173, -241.36559495])"
2580,"AL, RAE","array([ 30.95675416, 166.85476132])"
2581,"HUANG, S","array([ 76.10918574, -13.6986515 ])"
2582,"KATZ, JI","array([ 68.56072634, -39.48938265])"
2583,"CANEL, LM","array([ 77.98819675, -47.36841711])"
2584,"BRIGGS, M","array([ 59.90487554, -38.44898725])"
2585,"MEEGAN, JHC","array([ 56.27811099, -31.74295615])"
2586,"CHARBONNEL, C","array([ 36.40098126, -29.01598623])"
2587,"MEZZACAPPA, A","array([ 46.76664721, -50.13068617])"
2588,"OUKBIR, J","array([ 67.18853728, -20.70585033])"
2589,"BHARADWAJ, S","array([ 54.69456027, -13.25550322])"
2590,"HIX, WR","array([ 47.11689376, -39.38542745])"
2591,"THIELEMANN, FK","array([ 49.16080409, -33.65989799])"
2592,"CHEN, LW","array([ 78.46423528, -38.2203898 ])"
2593,"GENDREAU, KC","array([ 75.12263377, -36.32035498])"
2594,"PEREZ, J","array([76.89445164, -7.75396978])"
2595,"ALIMI, J","array([88.44864275, -7.44647306])"
2596,"ALY, J","array([85.37701338, -4.06500825])"
2597,"BOISANGER, CBD","array([55.68631969, -4.71643479])"
2598,"HELMICH, FP","array([55.65134889, -4.11948729])"
2599,"DISHOECK, EFV","array([ 57.97504104, -15.89267214])"
2600,"TERRANOVA, D","array([60.07946613, -7.05770429])"
2601,"SIMON, T","array([ 45.11944874, -37.2613321 ])"
2602,"JIJINA, J","array([ 35.36162204, -40.38972167])"
2603,"MAMON, G","array([ 71.34244424, -15.94848153])"
2604,"BOISSON, C","array([ 72.71388547, -21.29111719])"
2605,"CAYATTE, V","array([ 64.99696464, -26.5563407 ])"
2606,"ENGELMANN, F","array([ 71.5512187 , -16.27004242])"
2607,"MIYAHATA, K","array([ 46.46602431, -48.33192716])"
2608,"NARLIKAR, JV","array([ 78.12937112, -14.69724887])"
2609,"BLUDMAN, SA","array([268.32762543, -46.69853599])"
2610,"KENNEDY, DC","array([269.56055843, -45.18381025])"
2611,"KANTOWSKI, R","array([ 37.39821872, -45.45923134])"
2612,"VAUGHAN, T","array([ 38.18153611, -42.68974618])"
2613,"STRICKLAND, RW","array([ 31.66493945, -31.47367343])"
2614,"VILLARMARTIN, M","array([ 72.48342534, -32.18402218])"
2615,"BINETTE, L","array([ 72.07963715, -32.89909729])"
2616,"VACCA, WD","array([ 61.20843033, -29.60707181])"
2617,"HUT, P","array([ 72.11749956, -34.95087444])"
2618,"CHIEZE, JAJ","array([ 95.26751343, -17.68378903])"
2619,"NARAYAN, DHR","array([224.66717297,  69.0581517 ])"
2620,"STRELNITSKI, VS","array([ 46.93890682, -11.16817759])"
2621,"PONOMAREV, VO","array([ 46.96139748, -10.62203838])"
2622,"SMITH, HA","array([ 52.72067791, -21.46611744])"
2623,"SUISALU, I","array([57.06965183, 13.35318765])"
2624,"SAAR, E","array([57.31154481,  5.40476964])"
2625,"DRIVER, SP","array([ 66.819468  , -26.98145626])"
2626,"WINDHORST, RA","array([ 66.25613745, -26.81676783])"
2627,"REES, M","array([ 57.68853348, -19.53868346])"
2628,"GREGG, ASJHVGMD","array([148.43372377, 141.06030253])"
2629,"STRAUSS, ASJHVGMDGMA","array([  54.15957721, -221.89840018])"
2630,"KEEL, WC","array([ 69.28373562, -27.96587506])"
2631,"PHILLIPPS, S","array([ 68.36890927, -26.90669028])"
2632,"ZDUNIK, JL","array([ 45.22490611, -51.69077888])"
2633,"WALLINGTON, S","array([224.55146929,  80.96102966])"
2634,"NARAYAN, CSKR","array([226.10153628,  80.680187  ])"
2635,"JORGENSEN, I","array([ 75.13410183, -26.73583564])"
2636,"KJAERGAARD, P","array([ 72.40507561, -21.1446434 ])"
2637,"LANDY, SD","array([ 58.12456908, -24.32712202])"
2638,"BRISTOW, PD","array([ 74.74839597, -24.00169564])"
2639,"HOFFMAN, DHHRD","array([ 38.5789425 , -38.82793097])"
2640,"EASTHER, R","array([ 36.9924589 , -25.19995413])"
2641,"CASTELLANI, M","array([ 49.92376743, -28.55749034])"
2642,"MARCONI, G","array([ 53.16393848, -31.31038518])"
2643,"BUONANNO, R","array([ 54.32664342, -30.27771764])"
2644,"PUTTEN, MHPMV","array([ 41.22909871, -37.10660876])"
2645,"MAGNANO, G","array([ 159.10270632, -209.46997022])"
2646,"VERDAGUER, E","array([ 81.36650158, -12.24702748])"
2647,"BEREZHIANI, ZG","array([ 28.11242519, -16.91108404])"
2648,"MOHAPATRA, RN","array([ 30.66443335, -18.05376955])"
2649,"PROKOPEC, T","array([39.36494234, -8.32663731])"
2650,"PARIA, L","array([ 18.72839425, -31.31701371])"
2651,"MUSTAFA, MG","array([ 16.56371136, -32.19008875])"
2652,"ESPOSITO, S","array([28.97586743,  7.78321   ])"
2653,"CAPONE, G","array([25.57932083, 13.40057736])"
2654,"TEMPLERASTON, M","array([190.72734008,  90.14618663])"
2655,"HAXTON, WC","array([ 37.62998767, -42.262125  ])"
2656,"LANGANKE, K","array([ 39.87562401, -36.033322  ])"
2657,"VOGEL, P","array([ 33.11410718, -40.64459833])"
2658,"KOLBE, E","array([ 30.67869633, -39.98563426])"
2659,"HOGAN, CJ","array([ 53.11340148, -30.13241507])"
2660,"RUGERS, M","array([ 41.82543835, -30.94764032])"
2661,"FOLZ, WC","array([ 60.54813947, -10.72644643])"
2662,"BLACKMAN, EG","array([ 71.49457497, -37.14711251])"
2663,"STEINMETZ, ANM","array([73.04097702, -9.56410686])"
2664,"DANNER, R","array([ 52.34957048, -42.77855498])"
2665,"RICHTER, GA","array([ 52.13189376, -42.49270942])"
2666,"KROLL, P","array([ 51.05599391, -39.59098623])"
2667,"KOMOSSA, S","array([ 59.05774348, -36.30106926])"
2668,"WU, X","array([ 70.00343734, -30.86715414])"
2669,"YANNY, B","array([ 58.76825464, -28.38877188])"
2670,"WEINER, BJ","array([ 51.52277324, -22.44480954])"
2671,"VAUGHAN, BA","array([ 61.36433024, -45.8529927 ])"
2672,"DALY, RA","array([  95.56838699, -223.25966348])"
2673,"GUERRA, EJ","array([  94.10264594, -223.68668461])"
2674,"GUIJOSA, A","array([  95.23343364, -224.86023317])"
2675,"JONGERT, HC","array([ 67.76153651, -53.23838273])"
2676,"CHEN, A","array([ 67.53466458, -56.16781011])"
2677,"DWYER, J","array([ 66.94108087, -56.10611994])"
2678,"KAARET, P","array([ 62.95333307, -43.97871633])"
2679,"LUNDQVIST, P","array([ 55.03327033, -32.83548251])"
2680,"FRANSSON, C","array([ 56.53566657, -35.47571028])"
2681,"BROEILS, AH","array([ 77.79124995, -17.79518927])"
2682,"ARNOULD, M","array([ 43.87029441, -32.32272257])"
2683,"MOWLAVI, N","array([ 40.62212787, -26.33567756])"
2684,"CHAMPAGNE, A","array([ 37.46023692, -33.12901041])"
2685,"BURKE, DJ","array([ 70.61776553, -30.68037041])"
2686,"ROMER, AK","array([ 64.5523014 , -25.35526546])"
2687,"HOLDEN, B","array([ 66.78274152, -28.81937731])"
2688,"SAMUROVIC, S","array([ 86.89840306, -26.39002018])"
2689,"CELEBONOVIC, V","array([ 95.4677269 , -24.88610531])"
2690,"GREEN, PJ","array([ 63.58783576, -33.71189892])"
2691,"PASCARELLE, SM","array([ 63.34924312, -28.11884123])"
2692,"HIBBARD, JE","array([ 68.22039759, -35.66147188])"
2693,"GORKOM, JHV","array([ 60.87237168, -33.22229575])"
2694,"MARDLING, RA","array([-122.31466558, -133.51717121])"
2695,"REDDY, S","array([ 29.73183347, -54.08906591])"
2696,"REFREGIER, A","array([ 59.21146519, -24.33049034])"
2697,"TOLEDO, H","array([ 76.77080608, -31.72639268])"
2698,"SHUKLA, H","array([ 76.95453832, -32.1954765 ])"
2699,"STAVELEYSMITH, L","array([ 67.08470801, -33.99479277])"
2700,"WALSH, W","array([ 76.26016026, -33.7373884 ])"
2701,"FIELDS, B","array([ 34.1577468 , -26.03131796])"
2702,"PERRIN, JM","array([ 53.31328519, -10.18449778])"
2703,"DARBON, S","array([51.93080529, -7.26690015])"
2704,"SIVAN, JP","array([ 50.01170314, -18.03103033])"
2705,"DURAND, S","array([ 58.68712838, -10.33057339])"
2706,"OSMER, PS","array([ 63.04544363, -22.20753124])"
2707,"PORTER, AC","array([ 63.42749165, -18.7246311 ])"
2708,"SCIAMA, DW","array([ 45.82654522, -28.62119605])"
2709,"GLAZEBROOK, JHK","array([ 71.36053995, -21.73170522])"
2710,"LIN, H","array([ 62.77360563, -23.86845633])"
2711,"TUCKER, D","array([ 61.77142846, -20.71558899])"
2712,"HASHIMOTO, Y","array([ 57.89641681, -24.07718545])"
2713,"OEMLER, A","array([ 58.02621719, -34.88174048])"
2714,"LEIGHLY, KM","array([ 64.18034145, -36.16791757])"
2715,"DIETRICH, M","array([ 63.5519585 , -34.23788267])"
2716,"WALTMAN, E","array([ 68.72909988, -38.43830691])"
2717,"EDELSON, R","array([ 67.04730639, -36.56082342])"
2718,"GEORGE, I","array([ 69.07041594, -38.28458591])"
2719,"BRAUN, R","array([ 77.09479044, -34.55630161])"
2720,"LIU, FK","array([ 88.90639073, -30.22934313])"
2721,"EBISAWA, K","array([ 66.37006834, -43.48815338])"
2722,"FLORES, RA","array([ 59.816103  , -26.15824118])"
2723,"PRADA, F","array([ 62.58734298, -20.16008226])"
2724,"TANAKA, ST","array([ 62.03578546, -15.68887593])"
2725,"CLAPP, AC","array([ 63.19110137, -18.99191981])"
2726,"DEVLIN, MJ","array([ 59.62302577, -19.39845203])"
2727,"FIGUEIREDO, N","array([ 61.34540469, -17.60045046])"
2728,"GUNDERSEN, JO","array([ 63.62988883, -17.98451699])"
2729,"HANANY, S","array([ 64.57666492, -17.11703972])"
2730,"HRISTOV, VV","array([ 63.72338564, -16.98078478])"
2731,"LANGE, AE","array([ 64.08141813, -18.99867525])"
2732,"LIM, MA","array([ 62.80702388, -19.10397324])"
2733,"MEINHOLD, PR","array([ 63.59805719, -19.04900553])"
2734,"RICHARDS, PL","array([ 63.11325943, -17.30053238])"
2735,"STAREN, J","array([ 60.30786707, -14.97269202])"
2736,"CHENGALUR, JN","array([ 72.77427183, -24.88973144])"
2737,"BRUYN, AGD","array([ 66.13023992, -33.93655122])"
2738,"CARILLI, CL","array([ 69.98599226, -29.65939629])"
2739,"ELAD, H","array([ 53.54315452, -21.45815589])"
2740,"RUSS, H","array([ 44.99326007, -21.86993884])"
2741,"MORITA, M","array([ 48.46515983, -28.08240806])"
2742,"KASAI, M","array([ 46.45591376, -30.09188525])"
2743,"GIERLINSKI, M","array([ 64.07874704, -44.40754311])"
2744,"ZDZIARSKI, AA","array([ 62.27605018, -43.89254137])"
2745,"JOHNSON, WN","array([ 60.37424976, -44.75334172])"
2746,"PHLIPS, BF","array([ 65.03259219, -46.00507092])"
2747,"STATLER, TS","array([ 67.36711122, -18.85192869])"
2748,"SMECKERHANE, T","array([ 67.72745091, -18.97750666])"
2749,"CECIL, GN","array([ 74.57064529, -19.74716395])"
2750,"DEY, A","array([ 60.70861927, -29.57022587])"
2751,"SPINRAD, H","array([ 63.76596169, -29.20841759])"
2752,"OWEN, JM","array([ 62.19840753, -19.76644568])"
2753,"SHAPIRO, PR","array([ 55.04993761, -24.47836299])"
2754,"MARTEL, H","array([ 50.99640006, -24.55968222])"
2755,"BARWICK, S","array([ 39.41647463, -67.25358323])"
2756,"JACOBSEN, JE","array([ 43.78203045, -67.20780491])"
2757,"PAVLOV, G","array([ 51.6887762 , -58.36485284])"
2758,"SCHWARZSCHILD, M","array([55.57008056, -9.06587951])"
2759,"BIANCHI, S","array([ 69.74707733, -14.50762458])"
2760,"GIOVANARDI, C","array([ 70.87565177, -25.78777002])"
2761,"WAMPLER, EJ","array([ 60.82696286, -26.47811865])"
2762,"WILLIGER, GM","array([ 56.60974914, -30.13353287])"
2763,"BALDWIN, JA","array([ 53.67660633, -29.47971069])"
2764,"CARSWELL, RF","array([ 57.56938761, -29.53301277])"
2765,"YEE, HKC","array([ 66.87172182, -23.61959304])"
2766,"LI, Q","array([ 81.70986255, -32.97234279])"
2767,"SEMENIUK, I","array([ 52.7460329 , -10.78514036])"
2768,"NALEZYTY, M","array([47.18686497, -9.08290989])"
2769,"CAMILO, F","array([ 65.45846525, -46.54867435])"
2770,"DAMOUR, T","array([ 46.53235858, -26.71362723])"
2771,"LEE, HM","array([ 54.76848324, -30.03450661])"
2772,"OESTENSEN, R","array([ 71.21480698, -34.90446887])"
2773,"TEUBER, J","array([ 69.8672592 , -33.10323698])"
2774,"EMANUELSEN, PI","array([ 71.67900605, -34.39341408])"
2775,"FESTIN, L","array([ 70.45726328, -35.33273599])"
2776,"FLORENTINNIELSEN, R","array([ 71.88049516, -35.19976284])"
2777,"GAHM, G","array([ 70.73146691, -34.38477502])"
2778,"GULLBRING, E","array([ 71.80923967, -34.74266294])"
2779,"KAAS, AA","array([ 71.06479893, -35.36086185])"
2780,"KARTTUNEN, H","array([ 70.87837192, -34.68150661])"
2781,"KOTILAINEN, J","array([ 71.48217053, -34.65404106])"
2782,"LAURIKAINEN, E","array([ 70.53663382, -34.63880321])"
2783,"LINDGREN, H","array([ 71.59989942, -35.37442717])"
2784,"MAEHOENEN, P","array([ 71.04386941, -34.29115121])"
2785,"NILSSON, K","array([ 69.9802676 , -32.68783398])"
2786,"OLOFSSON, G","array([ 71.43206193, -33.89060992])"
2787,"OLSEN, O","array([ 71.41813795, -34.23358658])"
2788,"PIIROLA, V","array([ 72.62744287, -31.44292448])"
2789,"SOERENSEN, AN","array([ 68.13812381, -34.04787957])"
2790,"TAKALO, L","array([ 69.63066077, -37.77633283])"
2791,"THOMSEN, B","array([ 68.13314246, -32.20416291])"
2792,"VALTAOJA, E","array([ 68.9594246 , -36.26846883])"
2793,"VIANBORG, TA","array([ 70.5450134 , -34.98728656])"
2794,"C, A","array([ 74.02775511, -31.68700753])"
2795,"NAJITA, J","array([ 47.18552725, -29.54062115])"
2796,"GLASSGOLD, A","array([ 38.79027393, -27.2617861 ])"
2797,"SHU, F","array([ 38.6130067 , -26.79197957])"
2798,"TOKUNAGA, A","array([ 38.31787294, -27.4641137 ])"
2799,"LEFEVRE, O","array([ 73.27809779, -21.59405402])"
2800,"CUMMING, RJ","array([ 55.32960261, -28.70399842])"
2801,"GORTI, U","array([  8.64951253, 165.10649096])"
2802,"IN, HCBIE","array([  8.26538333, 163.59871551])"
2803,"IN, HE","array([  7.13890977, 164.68060826])"
2804,"SMAREGLIA, R","array([ 69.24432439, -60.0815431 ])"
2805,"MILLER, MC","array([ 57.97775859, -38.8594465 ])"
2806,"DYSON, RJRWJE","array([  92.47838748, -213.70801188])"
2807,"LANDSMAN, W","array([ 50.79493118, -29.36820978])"
2808,"BERGERON, P","array([ 48.73299231, -33.56775285])"
2809,"HAEHNELT, M","array([ 66.75625217, -30.04774106])"
2810,"WAGENHUBER, AWJ","array([ 30.30755186, -22.74225055])"
2811,"DENISSENKOV, PA","array([ 40.08116771, -26.0099962 ])"
2812,"BOOTHROYD, AI","array([ 26.85860796, -27.32037645])"
2813,"SACKMANN, IJ","array([ 18.0090473 , -26.33333495])"
2814,"SPARKE, LS","array([ 62.22976155, -29.19080867])"
2815,"TORMEN, G","array([ 68.20451879, -17.43172278])"
2816,"NORMAN, CA","array([ 71.94945913, -30.26447987])"
2817,"POHL, M","array([ 66.92751863, -47.66448946])"
2818,"REICH, W","array([ 69.26099378, -49.27787797])"
2819,"KRICHBAUM, TP","array([ 68.57877607, -41.6276303 ])"
2820,"STANDKE, K","array([ 67.92366814, -49.49150733])"
2821,"BRITZEN, S","array([ 69.27470503, -44.82320913])"
2822,"REUTER, HP","array([ 69.09428102, -48.25329668])"
2823,"REICH, P","array([ 68.38043808, -49.66988263])"
2824,"UNGERECHTS, H","array([ 66.65386889, -49.75805573])"
2825,"FIEDLER, RL","array([ 68.28957941, -49.21984448])"
2826,"WALTMAN, EB","array([ 65.668275  , -41.85719868])"
2827,"GHIGO, FD","array([ 65.63634998, -45.24866859])"
2828,"BOND, JR","array([ 63.30672734, -19.30721618])"
2829,"ROBERTS, WJ","array([ 41.40562252, -23.5274134 ])"
2830,"ISTOMIN, YN","array([47.19725388,  2.50469377])"
2831,"STELLA, SML","array([ 60.80772418, -51.18636735])"
2832,"A, BA","array([182.93359802, 114.426577  ])"
2833,"P, SD","array([181.71384432, 115.03096024])"
2834,"A, SI","array([182.33343283, 113.21211821])"
2835,"V, KT","array([181.11704842, 113.80929071])"
2836,"GROGIN, NA","array([ 65.79750866, -32.46686185])"
2837,"CLEMENTE, AD","array([ 78.88425234, -31.924494  ])"
2838,"NATALI, G","array([ 81.02127064, -32.14971922])"
2839,"TREVESE, D","array([ 78.42457366, -28.02747034])"
2840,"VAGNETTI, F","array([ 75.22746577, -35.08924359])"
2841,"DRUKIER, GA","array([ 46.03116534, -22.53146283])"
2842,"EGAMI, E","array([ 65.73440114, -30.80721495])"
2843,"GANGA, K","array([ 62.70680216, -14.49382606])"
2844,"BAUM, SA","array([ 62.53669764, -29.13433005])"
2845,"GALLIMORE, JF","array([ 68.08152647, -28.97511043])"
2846,"ODEA, CP","array([ 70.52809161, -29.17304385])"
2847,"LEHNERT, MD","array([ 65.59636776, -29.73497379])"
2848,"TSVETANOV, ZI","array([ 66.70976   , -29.47992725])"
2849,"MULCHAEY, JS","array([ 62.38139509, -31.45154998])"
2850,"CAGANOFF, S","array([ 69.8336184 , -31.59948986])"
2851,"GROMOV, A","array([143.68314732, 151.56966765])"
2852,"JHINGAN, S","array([26.00891031, -3.5656017 ])"
2853,"JOSHI, PS","array([27.46870178, -5.32322554])"
2854,"CHEBTERRAB, ES","array([33.4292441 , 14.42074748])"
2855,"OLIVEIRA, HPD","array([37.18250318,  6.44350667])"
2856,"ANDERSSON, N","array([ 33.88195144, -44.48944142])"
2857,"KOJIMA, Y","array([ 38.93050117, -52.47219399])"
2858,"KOKKOTAS, KD","array([ 34.68163375, -43.87047618])"
2859,"SALASNICH, L","array([  27.51438823, -228.77978212])"
2860,"UMEDA, H","array([ 53.27044404, -37.50722961])"
2861,"HALPRIN, A","array([-118.54083922,  -64.81760745])"
2862,"LEUNG, CN","array([-119.70521996,  -65.93380044])"
2863,"PANTALEONE, J","array([-120.08241479,  -64.37682173])"
2864,"FERRERA, A","array([22.00667855, -2.15049461])"
2865,"DAGOSTINI, G","array([ 83.73871854, -72.00310667])"
2866,"KAINULAINEN, K","array([ 37.32432516, -16.03478876])"
2867,"RIOTTO, A","array([ 34.38477157, -15.5335732 ])"
2868,"SOLJACIC, M","array([6.0335744 , 9.35432539])"
2869,"GUTH, A","array([5.95994182, 8.20454711])"
2870,"KIM, Y","array([ 53.43102186, -46.07603249])"
2871,"PRABHU, TP","array([ 64.132571  , -65.90468646])"
2872,"KIM, SW","array([ 51.61758071, -42.46629327])"
2873,"MOSCOSO, MD","array([ 51.48932202, -42.93784969])"
2874,"KUSUNOSE, M","array([ 59.88793531, -41.7632856 ])"
2875,"FISHER, A","array([ 50.92731834, -35.61498578])"
2876,"STAUBERT, R","array([ 67.29947187, -47.53847244])"
2877,"MAISACK, M","array([ 68.5058047, -45.5009674])"
2878,"BISNOVATYIKOGAN, GS","array([ 53.89047592, -38.97302394])"
2879,"BJORNSSON, G","array([ 50.02851961, -30.18970588])"
2880,"NOVIKOV, I","array([ 51.29370184, -21.27023619])"
2881,"KORISTA, KT","array([ 57.37681147, -30.34777753])"
2882,"YAKOVLEV, DG","array([ 42.20094107, -40.73281173])"
2883,"SUNTZEFF, NB","array([ 53.59088938, -29.73392494])"
2884,"WALKER, AR","array([ 55.10280026, -30.28613402])"
2885,"KRAFT, RP","array([ 47.9498925, -29.3915068])"
2886,"SHEPHERD, CW","array([ 67.5424045 , -20.21856772])"
2887,"BIBRA, MLV","array([ 79.98754872, -38.38390934])"
2888,"DESHPANDE, AA","array([ 80.74083605, -41.0768208 ])"
2889,"PHILLIPS, CJ","array([ 74.83569255, -35.44717719])"
2890,"FROST, C","array([ 47.43196665, -36.42349153])"
2891,"LATTANZIO, J","array([ 45.16689774, -34.5504914 ])"
2892,"RIPEPI, V","array([ 45.90436803, -26.2032178 ])"
2893,"BARONE, F","array([ 45.5310874 , -16.83100488])"
2894,"MILANO, L","array([ 45.02329723, -16.8885232 ])"
2895,"RUSSO, G","array([ 42.26182673, -21.15967889])"
2896,"SMECKERHANE, TA","array([ 59.54726725, -23.68491309])"
2897,"ELZANT, AA","array([190.62547897, 111.98913763])"
2898,"CLOCCHIATTI, A","array([ 55.7597494 , -31.66697051])"
